"TOA5","CR310","CR300","23125","CR310.Std.11.02","CPU:EstacionRK900.CR300","40620","RK900_10"
"TIMESTAMP","RECORD","Wind_Direction","Speed_Direction","Temperature","Humidity","Atm_Pressure","Radiation","Precipitation"
"TS","RN","degrees","m/s","degrees C","%","hPa","W/m2","mm/hr"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2025-05-26 16:07:00",0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-05-26 16:08:00",1,162,0.01,25,50.1,751.5,0.1,0
"2025-05-26 16:09:00",2,67,4.72,24.85,51.7,751.5,2.4,2.4
"2025-05-26 16:10:00",3,53,4.61,24.41,52.2,751.4,1.9,5.4
"2025-05-26 16:11:00",4,174,0.01,24.03,52.7,751.4,0.1,0
"2025-05-26 16:12:00",5,174,0.01,23.89,52.6,751.4,0.1,0
"2025-08-11 15:56:00",6,0,0.01,24.13,46.4,752.1,0.5,0
"2025-08-11 15:57:00",7,202,0.01,24.25,51.7,752.1,3.3,0
"2025-08-11 15:58:00",8,202,0.01,24.4,48.5,752.1,3.2,0
"2025-08-11 15:59:00",9,202,0.01,24.51,47.2,752,3.2,0
"2025-08-11 16:00:00",10,245,0,24.63,48.3,752.1,3.2,0
"2025-08-11 16:01:00",11,245,0.01,24.81,47.3,752.1,3.2,0
"2025-08-11 16:02:00",12,201,0.01,24.99,45.6,752.1,3.1,0
"2025-08-11 16:03:00",13,214,0.01,25.12,45,752.1,3.5,0
"2025-08-11 16:04:00",14,214,0.01,25.3,50.9,752.1,3.5,0
"2025-08-11 16:05:00",15,214,0.01,25.44,47.9,752.1,1.9,0
"2025-08-11 16:06:00",16,214,0.01,25.46,44.9,752.1,3.4,0
"2025-08-11 16:07:00",17,214,0.01,25.4,43.8,752.1,3.4,0
"2025-08-11 16:08:00",18,214,0.01,25.32,44.5,752.1,3.2,0
"2025-08-11 16:09:00",19,214,0.01,25.2,44.1,752.1,3.6,0
"2025-08-11 16:10:00",20,214,0.01,25.06,44.6,752.1,3.8,0
"2025-08-11 16:11:00",21,214,0.01,24.91,45,752.1,3.9,0
"2025-08-11 16:12:00",22,214,0.01,24.77,45.2,752.1,4,0
"2025-08-11 16:13:00",23,214,0.01,24.65,45.6,752.1,3.9,0
"2025-08-11 16:14:00",24,214,0.01,24.53,45.9,752.1,3.8,0
"2025-08-11 16:15:00",25,214,0.01,24.42,46.2,752.1,3.8,0
"2025-08-11 16:16:00",26,214,0.01,24.32,46.6,752.1,3.8,0
"2025-08-11 16:17:00",27,214,0.01,24.23,47,752.1,3.6,0
"2025-08-11 16:18:00",28,214,0.01,24.15,47.2,752.1,3.5,0
"2025-08-11 16:19:00",29,214,0.01,24.08,47.3,752.2,3.5,0
"2025-08-11 16:20:00",30,214,0.01,24.01,47.5,752.1,3.8,0
"2025-08-11 16:21:00",31,214,0.01,23.94,47.7,752.1,3.7,0
"2025-08-11 16:23:00",32,214,0.01,23.87,47.9,752.1,3.1,0
"2025-08-11 16:24:00",33,214,0.01,23.84,48.1,752.2,3.1,0
"2025-08-11 16:25:00",34,214,0.01,23.81,47.8,752.2,3.1,0
"2025-08-11 16:26:00",35,214,0.01,23.78,47.8,752.3,3.1,0
