Time [s],Channel 0
0.000000000,1
0.001919333,0
0.001945000,1
0.001953583,0
0.001962125,1
0.001970708,0
0.001979250,1
0.001987792,0
0.001996375,1
0.002004917,0
0.002013458,1
0.002022042,0
0.002030583,1
0.002039167,0
0.002047708,1
0.002073375,0
0.002081917,1
0.002090500,0
0.002107583,1
0.002116167,0
0.002133292,1
0.002158958,0
0.002167500,1
0.002176083,0
0.002184625,1
0.002201750,0
0.002210292,1
0.002218833,0
0.002227417,1
0.002244542,0
0.002253083,1
0.002261625,0
0.002270208,1
0.002278750,0
0.002295875,1
0.002304417,0
0.002312958,1
0.002330083,0
0.002338667,1
0.002347208,0
0.002355750,1
0.002372875,0
0.002390000,1
0.002415667,0
0.002424208,1
0.002432792,0
0.002467000,1
0.002475583,0
0.002484125,1
0.002501250,0
0.002509792,1
0.002518333,0
0.002569708,1
0.002578250,0
0.002595375,1
0.002603917,0
0.002612458,1
0.002621042,0
0.002655250,1
0.002672375,0
0.002680917,1
0.002689500,0
0.002706625,1
0.002715167,0
0.002732292,1
0.002757958,0
0.002766500,1
0.002775083,0
0.002792167,1
0.002800750,0
0.002817833,1
0.002843542,0
0.002852083,1
0.002860625,0
0.002869208,1
0.002877750,0
0.002886292,1
0.002894875,0
0.002903417,1
0.002929083,0
0.002937667,1
0.002946208,0
0.002954750,1
0.002971875,0
0.002989000,1
0.003014667,0
0.003023208,1
0.003031792,0
0.003074583,1
0.003100250,0
0.003108792,1
0.003117375,0
0.003125917,1
0.003134458,0
0.003143042,1
0.003151583,0
0.003160125,1
0.003185833,0
0.003194375,1
0.003202917,0
0.003211500,1
0.003228583,0
0.003254250,1
0.003271375,0
0.003279958,1
0.003288500,0
0.003322708,1
0.003331292,0
0.003339833,1
0.003356958,0
0.003365500,1
0.003374083,0
0.003382625,1
0.003391167,0
0.003399750,1
0.003408292,0
0.003416875,1
0.003442542,0
0.003451083,1
0.003459625,0
0.003468208,1
0.003485333,0
0.003511000,1
0.003528083,0
0.003536667,1
0.003545208,0
0.003579458,1
0.003588000,0
0.003596542,1
0.003613667,0
0.003622208,1
0.003630792,0
0.003639333,1
0.003647917,0
0.003656458,1
0.003665000,0
0.003673583,1
0.003699250,0
0.003707792,1
0.003716375,0
0.003724917,1
0.003733458,0
0.003742042,1
0.003759125,0
0.003793375,1
0.003801917,0
0.003819042,1
0.003827583,0
0.003836167,1
0.003844708,0
0.003878958,1
0.505455625,0
0.505481292,1
0.505489833,0
0.505498375,1
0.505506958,0
0.505515500,1
0.505524083,0
0.505532625,1
0.505541167,0
0.505549750,1
0.505558292,0
0.505566833,1
0.505575417,0
0.505583958,1
0.505609625,0
0.505618208,1
0.505626750,0
0.505643875,1
0.505652417,0
0.505669542,1
0.505695208,0
0.505703750,1
0.505712333,0
0.505720875,1
0.505738000,0
0.505746542,1
0.505755125,0
0.505763667,1
0.505780792,0
0.505789333,1
0.505797875,0
0.505806458,1
0.505815000,0
0.505832125,1
0.505840667,0
0.505849250,1
0.505866333,0
0.505874917,1
0.505883458,0
0.505892000,1
0.505909125,0
0.505926250,1
0.505951917,0
0.505960458,1
0.505969042,0
0.506003250,1
0.506011833,0
0.506020375,1
0.506037500,0
0.506046042,1
0.506054625,0
0.506105958,1
0.506114500,0
0.506131625,1
0.506140167,0
0.506148750,1
0.506157292,0
0.506191542,1
0.506208625,0
0.506217208,1
0.506225750,0
0.506242875,1
0.506251417,0
0.506268542,1
0.506294208,0
0.506302750,1
0.506311333,0
0.506328417,1
0.506337000,0
0.506354125,1
0.506379792,0
0.506388333,1
0.506396917,0
0.506405458,1
0.506414000,0
0.506422583,1
0.506431125,0
0.506439667,1
0.506465375,0
0.506473917,1
0.506482458,0
0.506491042,1
0.506508125,0
0.506525250,1
0.506550917,0
